trip_id,driver_id,rider_id,city,pickup_zone,drop_zone,request_time,pickup_time,drop_time,distance_km,fare,status,cancellation_reason
T1072,D341,R2467,Bangalore,HSR Layout,Whitefield,2023-10-27 23:17:00,2023-10-27 23:19:00,2023-10-28 00:25:00,17.9,490,Completed,
T1073,D272,R2005,Mumbai,Bandra,Andheri,2023-10-10 08:31:00,2023-10-10 08:40:00,2023-10-10 09:17:00,11.5,244,Completed,
T1074,D293,R1402,Bangalore,Indiranagar,Koramangala,2023-10-06 15:05:00,2023-10-06 15:19:00,2023-10-06 15:45:00,8.9,248,Completed,
T1075,D166,R4426,Mumbai,Andheri,Colaba,2023-10-04 22:22:00,2023-10-04 22:27:00,2023-10-04 23:04:00,9.5,212,Completed,
T1076,D217,R1611,Delhi,Vasant Kunj,Saket,2023-10-25 06:32:00,2023-10-25 06:46:00,2023-10-25 07:20:00,8.7,222,Completed,
T1077,D250,R4462,Delhi,Connaught Place,Rohini,2023-10-04 02:51:00,2023-10-04 03:04:00,2023-10-04 04:07:00,22.4,388,Completed,
T1078,D342,R2616,Delhi,Saket,Rohini,2023-10-28 09:24:00,2023-10-28 09:32:00,2023-10-28 10:03:00,11.7,238,Completed,
T1079,D193,R1676,Mumbai,Juhu,Powai,2023-10-19 13:01:00,2023-10-19 13:15:00,2023-10-19 14:15:00,22.5,516,Completed,
T1080,D260,R1576,Bangalore,Indiranagar,Koramangala,2023-10-15 23:30:00,2023-10-15 23:42:00,2023-10-16 00:12:00,10.8,319,Completed,
T1081,D311,R1968,Mumbai,Colaba,Powai,2023-10-01 23:20:00,2023-10-01 23:26:00,2023-10-01 23:51:00,9.1,198,Completed,
T1082,D125,R3897,Delhi,Dwarka,Rohini,2023-10-07 18:16:00,2023-10-07 18:23:00,2023-10-07 19:12:00,14.4,336,Completed,
T1083,D261,R2735,Mumbai,Andheri,Bandra,2023-10-29 17:07:00,2023-10-29 17:15:00,2023-10-29 18:22:00,17.9,425,Completed,
T1084,D193,R3275,Mumbai,Colaba,Bandra,2023-10-26 04:00:00,2023-10-26 04:08:00,2023-10-26 05:01:00,17.9,401,Completed,
T1085,D267,R3629,Mumbai,Powai,Juhu,2023-10-26 17:38:00,2023-10-26 17:49:00,2023-10-26 18:52:00,18.2,327,Completed,
T1086,D165,R3200,Delhi,Dwarka,Saket,2023-10-12 13:15:00,2023-10-12 13:30:00,2023-10-12 13:46:00,6.3,190,Completed,
T1087,D306,R4236,Mumbai,Juhu,Colaba,2023-10-07 14:33:00,2023-10-07 14:36:00,2023-10-07 15:19:00,16.5,428,Completed,
T1088,D202,R1314,Delhi,Connaught Place,Vasant Kunj,2023-10-10 23:22:00,2023-10-10 23:31:00,2023-10-11 00:33:00,21.6,390,Completed,
T1089,D224,R1934,Bangalore,Jayanagar,Koramangala,2023-10-03 22:12:00,2023-10-03 22:19:00,2023-10-03 22:30:00,4.1,120,Completed,
T1090,D272,R3932,Mumbai,Powai,Juhu,2023-10-06 10:58:00,2023-10-06 11:07:00,2023-10-06 12:08:00,19.1,423,Completed,
T1091,D317,R1369,Bangalore,Jayanagar,Indiranagar,2023-10-20 16:07:00,2023-10-20 16:09:00,2023-10-20 16:41:00,10.8,271,Completed,
T1092,D332,R1964,Delhi,Dwarka,Saket,2023-10-09 00:29:00,2023-10-09 00:34:00,2023-10-09 00:44:00,3.2,104,Completed,
T1093,D155,R1084,Delhi,Saket,Vasant Kunj,2023-10-01 15:10:00,2023-10-01 15:20:00,2023-10-01 15:48:00,8.7,261,Completed,
T1094,D181,R1617,Bangalore,Whitefield,HSR Layout,2023-10-15 22:47:00,2023-10-15 22:59:00,2023-10-15 23:15:00,5.8,146,Completed,
T1095,D136,R4729,Delhi,Dwarka,Saket,2023-10-04 10:43:00,2023-10-04 10:48:00,2023-10-04 10:57:00,2.9,101,Completed,
T1096,D204,R3864,Bangalore,HSR Layout,Koramangala,2023-10-29 12:17:00,2023-10-29 12:23:00,2023-10-29 12:31:00,2.2,87,Completed,
T1097,D263,R4409,Bangalore,Indiranagar,Whitefield,2023-10-09 22:06:00,2023-10-09 22:19:00,2023-10-09 23:14:00,16.8,412,Completed,
T1098,D299,R1574,Delhi,Vasant Kunj,Connaught Place,2023-10-14 08:21:00,2023-10-14 08:31:00,2023-10-14 09:47:00,21.5,455,Completed,
T1099,D233,R1282,Delhi,Vasant Kunj,Saket,2023-10-22 11:51:00,,,0.0,0.0,Cancelled,Driver Not Found
T1100,D9999,R3906,Bangalore,HSR Layout,Jayanagar,2023-10-04 07:45:00,2023-10-04 07:58:00,2023-10-04 08:18:00,7.6,226,Completed,
T1101,D276,R3023,Bangalore,Koramangala,Indiranagar,2023-10-15 05:50:00,2023-10-15 06:03:00,2023-10-15 06:35:00,12.1,292,Completed,
T1102,D200,R1784,Delhi,Saket,Vasant Kunj,2023-10-05 12:04:00,2023-10-05 12:18:00,2023-10-05 13:17:00,15.1,402,Completed,
T1103,D256,R4959,Delhi,Connaught Place,Vasant Kunj,2023-10-07 11:04:00,2023-10-07 11:06:00,2023-10-07 12:18:00,18.7,343,Completed,
T1104,D302,R1990,Bangalore,Koramangala,Whitefield,2023-10-03 14:41:00,2023-10-03 14:50:00,2023-10-03 15:23:00,11.1,325,Completed,
T1105,D148,R2170,Bangalore,Indiranagar,HSR Layout,2023-10-17 17:27:00,2023-10-17 17:38:00,2023-10-17 18:44:00,22.4,515,Completed,
T1106,D242,R2663,Delhi,Vasant Kunj,Dwarka,2023-10-22 02:36:00,2023-10-22 02:49:00,2023-10-22 04:18:00,24.3,458,Completed,
T1107,D180,R3661,Bangalore,Koramangala,Indiranagar,2023-10-18 02:23:00,2023-10-18 02:25:00,2023-10-18 03:06:00,16.6,315,Completed,
T1108,D343,R1140,Bangalore,Indiranagar,Whitefield,2023-10-17 06:38:00,2023-10-17 06:46:00,2023-10-17 07:20:00,9.2,248,Completed,
T1109,D144,R1940,Mumbai,Juhu,Powai,2023-10-12 10:27:00,2023-10-12 10:38:00,2023-10-12 11:26:00,13.7,320,Completed,
T1110,D242,R1485,Delhi,Rohini,Dwarka,2023-10-09 14:26:00,2023-10-09 14:31:00,2023-10-09 15:30:00,20.0,384,Completed,
T1111,D263,R3828,Bangalore,Indiranagar,Whitefield,2023-10-02 07:54:00,2023-10-02 08:07:00,2023-10-02 09:15:00,23.8,615,Completed,
T1112,D142,R4484,Mumbai,Colaba,Bandra,2023-10-06 23:30:00,,,0.0,0.0,Cancelled,Other
T1113,D214,R3515,Delhi,Connaught Place,Rohini,2023-10-02 09:14:00,2023-10-02 09:21:00,2023-10-02 09:45:00,8.8,208,Completed,
T1114,D232,R3047,Bangalore,Jayanagar,Whitefield,2023-10-18 03:06:00,2023-10-18 03:16:00,2023-10-18 03:53:00,10.5,256,Completed,
T1115,D298,R2907,Delhi,Connaught Place,Vasant Kunj,2023-10-20 17:35:00,2023-10-20 17:37:00,2023-10-20 18:35:00,16.6,404,Completed,
T1116,D152,R2420,Bangalore,Jayanagar,HSR Layout,2023-10-13 19:00:00,2023-10-13 19:05:00,2023-10-13 20:12:00,17.8,432,Completed,
T1117,D254,R3843,Bangalore,Jayanagar,Indiranagar,2023-10-11 17:40:00,2023-10-11 17:47:00,2023-10-11 18:06:00,7.3,220,Completed,
T1118,D312,R3319,Delhi,Connaught Place,Rohini,2023-10-10 05:34:00,2023-10-10 05:38:00,2023-10-10 05:48:00,3.8,139,Completed,
T1119,D121,R3011,Mumbai,Bandra,Powai,2023-10-19 23:23:00,2023-10-19 23:29:00,2023-10-19 23:47:00,6.1,182,Completed,
T1120,D133,R1500,Delhi,Vasant Kunj,Saket,2023-10-02 15:20:00,2023-10-02 15:26:00,2023-10-02 16:55:00,24.4,588,Completed,
T1121,D114,R2830,Bangalore,HSR Layout,Jayanagar,2023-10-26 07:19:00,2023-10-26 07:25:00,2023-10-26 08:06:00,15.3,357,Completed,
T1122,D200,R3748,Delhi,Connaught Place,Saket,2023-10-04 11:46:00,,,0.0,0.0,Cancelled,Driver Cancelled
T1123,D170,R1679,Bangalore,Indiranagar,Jayanagar,2023-10-26 05:47:00,2023-10-26 06:01:00,2023-10-26 06:11:00,3.7,107,Completed,
T1124,D346,R1071,Mumbai,Andheri,Colaba,2023-10-13 01:20:00,2023-10-13 01:24:00,2023-10-13 01:53:00,8.6,199,Completed,
T1125,D314,R2389,Mumbai,Juhu,Bandra,2023-10-09 17:57:00,2023-10-09 18:04:00,2023-10-09 19:16:00,19.4,411,Completed,
T1126,D220,R2091,Mumbai,Powai,Colaba,2023-10-24 18:17:00,2023-10-24 18:23:00,2023-10-24 19:16:00,16.9,462,Completed,
T1127,D287,R3675,Mumbai,Andheri,Bandra,2023-10-11 02:34:00,2023-10-11 02:47:00,2023-10-11 03:14:00,10.6,268,Completed,
T1128,D211,R4535,Mumbai,Bandra,Colaba,2023-10-24 03:29:00,2023-10-24 03:33:00,2023-10-24 03:47:00,3.8,137,Completed,
T1129,D267,R3739,Mumbai,Powai,Juhu,2023-10-02 17:12:00,,,0.0,0.0,Cancelled,Payment Issue
T1130,D265,R4512,Bangalore,Jayanagar,HSR Layout,2023-10-16 15:15:00,2023-10-16 15:28:00,2023-10-16 16:32:00,23.7,490,Completed,
T1131,D105,R4327,Bangalore,HSR Layout,Jayanagar,2023-10-30 16:11:00,2023-10-30 16:23:00,2023-10-30 17:30:00,23.5,601,Completed,
T1132,D210,R4130,Mumbai,Andheri,Powai,2023-10-01 09:09:00,2023-10-01 09:16:00,2023-10-01 10:30:00,20.0,513,Completed,
T1133,D262,R3100,Bangalore,Whitefield,Indiranagar,2023-10-18 12:08:00,,,0.0,0.0,Cancelled,Driver Cancelled
T1134,D292,R4951,Bangalore,HSR Layout,Whitefield,2023-10-11 03:28:00,2023-10-11 03:30:00,2023-10-11 03:50:00,6.9,158,Completed,
T1135,D213,R4388,Bangalore,Koramangala,HSR Layout,2023-10-01 02:46:00,2023-10-01 02:49:00,2023-10-01 03:00:00,3.4,127,Completed,
T1136,D127,R3934,Delhi,Rohini,Connaught Place,2023-10-15 20:10:00,2023-10-15 20:25:00,2023-10-15 21:02:00,10.7,286,Completed,
T1137,D154,R1418,Mumbai,Colaba,Andheri,2023-10-30 12:43:00,2023-10-30 12:51:00,2023-10-30 14:10:00,22.0,530,Completed,
T1138,D202,R1302,Delhi,Dwarka,Saket,2023-10-20 13:37:00,,,0.0,0.0,Cancelled,Payment Issue
T1139,D308,R4758,Mumbai,Juhu,Bandra,2023-10-10 04:13:00,2023-10-10 04:25:00,2023-10-10 04:39:00,4.7,140,Completed,
T1140,D269,R2188,Delhi,Vasant Kunj,Rohini,2023-10-16 13:59:00,2023-10-16 14:09:00,2023-10-16 14:21:00,3.2,113,Completed,
T1141,D253,R3819,Delhi,Vasant Kunj,Connaught Place,2023-10-30 01:36:00,2023-10-30 01:43:00,2023-10-30 02:30:00,15.6,425,Completed,
T1142,D149,R3833,Bangalore,Whitefield,HSR Layout,2023-10-12 09:00:00,2023-10-12 09:10:00,2023-10-12 10:45:00,24.4,569,Completed,
T1143,D159,R2510,Delhi,Connaught Place,Dwarka,2023-10-22 11:56:00,2023-10-22 12:10:00,2023-10-22 12:45:00,12.9,294,Completed,
T1144,D175,R4658,Mumbai,Powai,Andheri,2023-10-29 07:56:00,2023-10-29 07:59:00,2023-10-29 08:23:00,8.4,211,Completed,
T1145,D188,R3091,Mumbai,Andheri,Colaba,2023-10-16 18:57:00,,,0.0,0.0,Cancelled,Payment Issue
T1146,D309,R2018,Mumbai,Juhu,Bandra,2023-10-19 18:34:00,2023-10-19 18:40:00,2023-10-19 18:58:00,4.8,125,Completed,
T1147,D156,R3474,Delhi,Dwarka,Rohini,2023-10-22 22:15:00,,,0.0,0.0,Cancelled,Driver Cancelled
T1148,D140,R4065,Bangalore,HSR Layout,Koramangala,2023-10-28 02:39:00,2023-10-28 02:41:00,2023-10-28 03:22:00,14.1,400,Completed,
T1149,D238,R4756,Mumbai,Colaba,Juhu,2023-10-11 07:19:00,2023-10-11 07:29:00,2023-10-11 07:45:00,4.4,139,Completed,
T1150,D289,R3041,Bangalore,Indiranagar,Koramangala,2023-10-27 04:35:00,2023-10-27 04:39:00,2023-10-27 05:39:00,15.7,-437,Completed,
T1151,D235,R2339,Bangalore,Jayanagar,HSR Layout,2023-10-13 20:28:00,2023-10-13 20:43:00,2023-10-13 21:27:00,17.1,467,Completed,
T1152,D191,R1773,Bangalore,Jayanagar,Koramangala,2023-10-19 12:53:00,2023-10-19 12:57:00,2023-10-19 13:55:00,16.2,348,Completed,
T1153,D280,R1903,Delhi,Rohini,Vasant Kunj,2023-10-30 05:14:00,2023-10-30 05:17:00,2023-10-30 06:25:00,21.9,588,Completed,
T1154,D126,R1690,Delhi,Rohini,Vasant Kunj,2023-10-04 11:17:00,2023-10-04 11:21:00,2023-10-04 12:33:00,22.7,493,Completed,
T1155,D103,R2449,Delhi,Vasant Kunj,Rohini,2023-10-01 08:38:00,2023-10-01 08:47:00,2023-10-01 09:38:00,15.4,416,Completed,
T1156,D154,R4815,Mumbai,Bandra,Juhu,2023-10-16 13:29:00,,,0.0,0.0,Cancelled,Driver Cancelled
T1157,D109,R4107,Bangalore,Koramangala,HSR Layout,2023-10-11 17:31:00,2023-10-11 17:40:00,2023-10-11 18:47:00,17.2,408,Completed,
T1158,D158,R1071,Mumbai,Colaba,Powai,2023-10-24 16:23:00,2023-10-24 16:27:00,2023-10-24 17:33:00,17.4,321,Completed,
T1159,D286,R3070,Mumbai,Andheri,Bandra,2023-10-13 23:22:00,2023-10-13 23:32:00,2023-10-13 23:44:00,3.6,124,Completed,
T1160,D314,R3167,Mumbai,Powai,Andheri,2023-10-03 16:14:00,2023-10-03 16:21:00,2023-10-03 16:50:00,8.8,237,Completed,
T1161,D196,R1527,Delhi,Saket,Connaught Place,2023-10-29 01:20:00,,,0.0,0.0,Cancelled,Payment Issue
T1162,D279,R2127,Mumbai,Powai,Bandra,2023-10-19 14:05:00,2023-10-19 14:10:00,2023-10-19 15:01:00,15.7,372,Completed,
T1163,D215,R3426,Mumbai,Colaba,Bandra,2023-10-22 09:22:00,2023-10-22 09:30:00,2023-10-22 10:07:00,9.9,199,Completed,
T1164,D110,R3137,Mumbai,Andheri,Juhu,2023-10-26 21:38:00,2023-10-26 21:47:00,2023-10-26 22:01:00,5.6,144,Completed,
T1165,D130,R1316,Bangalore,HSR Layout,Koramangala,2023-10-30 02:16:00,2023-10-30 02:26:00,2023-10-30 03:00:00,8.9,260,Completed,
T1166,D197,R4011,Mumbai,Andheri,Colaba,2023-10-19 14:33:00,2023-10-19 14:44:00,2023-10-19 15:27:00,14.6,274,Completed,
T1167,D270,R3021,Delhi,Dwarka,Rohini,2023-10-12 10:43:00,2023-10-12 10:45:00,2023-10-12 11:30:00,17.9,357,Completed,
T1168,D194,R2480,Mumbai,Andheri,Bandra,2023-10-30 04:09:00,2023-10-30 04:18:00,2023-10-30 04:56:00,14.2,363,Completed,
T1169,D264,R4013,Delhi,Rohini,Connaught Place,2023-10-05 21:25:00,2023-10-05 21:28:00,2023-10-05 22:58:00,24.0,605,Completed,
T1170,D160,R3173,Mumbai,Powai,Bandra,2023-10-17 06:44:00,2023-10-17 06:58:00,2023-10-17 08:20:00,24.9,615,Completed,
T1171,D110,R4806,Mumbai,Bandra,Andheri,2023-10-20 10:59:00,2023-10-20 11:03:00,2023-10-20 12:02:00,17.9,424,Completed,
T1172,D203,R4731,Mumbai,Powai,Bandra,2023-10-24 09:43:00,2023-10-24 09:58:00,2023-10-24 10:55:00,19.3,393,Completed,
T1173,D257,R4233,Mumbai,Colaba,Powai,2023-10-10 16:14:00,2023-10-10 16:26:00,2023-10-10 17:13:00,12.9,332,Completed,
T1174,D340,R2384,Delhi,Dwarka,Connaught Place,2023-10-14 18:31:00,2023-10-14 18:35:00,2023-10-14 19:16:00,12.4,265,Completed,
T1175,D231,R2413,Bangalore,Jayanagar,Whitefield,2023-10-03 06:37:00,2023-10-03 06:44:00,2023-10-03 07:09:00,9.6,197,Completed,
T1176,D246,R3707,Delhi,Connaught Place,Dwarka,2023-10-13 02:24:00,2023-10-13 02:39:00,2023-10-13 02:58:00,5.0,129,Completed,
T1177,D208,R4170,Bangalore,Indiranagar,Koramangala,2023-10-09 11:45:00,2023-10-09 11:59:00,2023-10-09 12:21:00,5.8,178,Completed,
T1178,D321,R3103,Mumbai,Juhu,Andheri,2023-10-10 11:35:00,2023-10-10 11:50:00,2023-10-10 13:00:00,20.2,435,Completed,
T1179,D166,R4372,Mumbai,Colaba,Andheri,2023-10-12 04:52:00,2023-10-12 05:00:00,2023-10-12 06:10:00,18.7,483,Completed,
