driver_id,driver_name,city,vehicle_type,rating,status
D277,Karan,Mumbai,Sedan,4.8,Inactive
D278,Neha,Bangalore,Hatchback,4.8,Active
D279,Neha,Mumbai,Hatchback,3.9,Active
D280,Neha,Delhi,SUV,3.4,Active
D281,Karan,Delhi,Hatchback,3.4,Active
D282,Ravi,Mumbai,Hatchback,4.5,Active
D283,Suresh,Mumbai,Sedan,3.8,Active
D284,Vikram,Mumbai,SUV,3.6,Active
D285,Ravi,Delhi,SUV,4.6,Active
D286,Ravi,Mumbai,Hatchback,3.0,Active
D287,Anjali,Mumbai,Sedan,4.7,Active
D288,Amit,Mumbai,Sedan,5.0,Active
D289,Vikram,Bangalore,SUV,3.5,Active
D290,Neha,Mumbai,Hatchback,4.9,Inactive
D291,Anjali,Delhi,Hatchback,4.8,Inactive
D292,Priya,Bangalore,Hatchback,3.2,Active
D293,Rahul,Bangalore,SUV,4.4,Active
D294,Priya,Delhi,SUV,4.7,Active
D295,Amit,Bangalore,Sedan,3.2,Active
D296,Suresh,Mumbai,Sedan,3.8,Active
D297,Anjali,Bangalore,Hatchback,3.3,Active
D298,Rahul,Delhi,SUV,3.9,Active
D299,Rahul,Delhi,Sedan,4.9,Active
D300,Ravi,Delhi,SUV,4.8,Active
D301,Karan,Bangalore,SUV,4.1,Active
D302,Karan,Bangalore,Sedan,3.6,Inactive
D303,Rahul,Mumbai,SUV,3.5,Active
D304,Amit,Delhi,SUV,4.1,Active
D305,Vikram,Bangalore,Sedan,4.8,Active
D306,Priya,Mumbai,Hatchback,4.4,Active
D307,Ravi,Mumbai,SUV,4.5,Active
D308,Vikram,Mumbai,Sedan,4.7,Active
D309,Suresh,Mumbai,Sedan,3.3,Active
D310,Anjali,Bangalore,SUV,4.4,Active
D311,Ravi,Mumbai,Sedan,3.7,Active
D312,Ravi,Delhi,SUV,3.5,Active
D313,Amit,Delhi,Hatchback,3.9,Inactive
D314,Anjali,Mumbai,Hatchback,3.5,Inactive
D315,Suresh,Mumbai,Hatchback,3.9,Active
D316,Priya,Bangalore,Hatchback,4.8,Active
D317,Priya,Bangalore,SUV,4.8,Inactive
D318,Priya,Bangalore,Sedan,4.8,Active
D319,Vikram,Bangalore,Sedan,3.2,Active
D320,Neha,Bangalore,Sedan,4.5,Active
D321,Karan,Mumbai,Hatchback,3.3,Inactive
D322,Pooja,Bangalore,Hatchback,3.8,Active
D323,Amit,Delhi,Sedan,4.5,Active
D324,Amit,Mumbai,Hatchback,3.8,Active
D325,Vikram,Bangalore,Hatchback,4.3,Active
D326,Vikram,Delhi,Sedan,4.8,Active
D327,Priya,Mumbai,SUV,4.0,Inactive
D328,Rahul,Mumbai,Hatchback,3.6,Active
D329,Vikram,Bangalore,SUV,3.6,Active
D330,Ravi,Delhi,Hatchback,4.3,Active
D331,Neha,Delhi,Sedan,4.7,Active
D332,Karan,Delhi,SUV,4.1,Active
D333,Neha,Mumbai,SUV,5.0,Active
D334,Suresh,Bangalore,Hatchback,3.7,Active
D335,Vikram,Delhi,Sedan,4.2,Active
D336,Neha,Bangalore,Hatchback,3.0,Active
D337,Vikram,Mumbai,SUV,4.4,Active
D338,Neha,Mumbai,Hatchback,4.2,Active
D339,Rahul,Bangalore,Sedan,3.5,Active
D340,Neha,Delhi,Hatchback,4.2,Active
D341,Ravi,Bangalore,Hatchback,3.6,Inactive
D342,Ravi,Delhi,Hatchback,4.1,Active
D343,Ravi,Bangalore,Hatchback,4.6,Active
D344,Anjali,Delhi,Sedan,4.7,Active
D345,Karan,Delhi,Sedan,3.8,Active
D346,Suresh,Mumbai,SUV,4.5,Active
D347,Vikram,Bangalore,Hatchback,5.0,Active
D348,Anjali,Bangalore,Hatchback,3.1,Active
D349,Vikram,Delhi,Hatchback,3.7,Active
D350,Priya,Delhi,Sedan,3.8,Active
